aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-0344d5b3d375,Hong Kong,open,MCGC_model_prediction,0.3185,low,<5k_m2,4_8,0,0,yes,yes
GBA-10-035c05953db8,Hong Kong,gated,MCGC_model_prediction,0.5392,low,25k_50k_m2,<1,0,0,yes,yes
GBA-10-035cee70dc73,Hong Kong,gated,MCGC_model_prediction,0.8598,high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-035ecb59ef92,Hong Kong,open,MCGC_model_prediction,0.1272,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-0365013f408e,Hong Kong,open,MCGC_model_prediction,0.0070,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-0370d9f2c771,Hong Kong,open,MCGC_model_prediction,0.0107,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-037aecd53902,Hong Kong,open,MCGC_model_prediction,0.3138,low,<5k_m2,<1,0,0,yes,yes
GBA-10-037c8203e081,Hong Kong,open,MCGC_model_prediction,0.3297,low,10k_25k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-0383f885260c,Hong Kong,open,MCGC_model_prediction,0.0454,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-03895502bfa2,Hong Kong,open,MCGC_model_prediction,0.0835,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-039cb19e1e11,Hong Kong,open,MCGC_model_prediction,0.2634,medium,<5k_m2,>=8,0,0,yes,yes
GBA-10-039dddbcf53e,Hong Kong,gated,MCGC_model_prediction,0.6145,low,<5k_m2,<1,0,0,yes,yes
GBA-10-03a08d48c2a4,Hong Kong,gated,MCGC_model_prediction,0.9898,very_high,>=100k_m2,2_4,0_0.0005,>5,yes,yes
GBA-10-03ad4e9b9635,Hong Kong,open,MCGC_model_prediction,0.1031,high,<5k_m2,4_8,0,0,yes,yes
GBA-10-03b56fe156d1,Hong Kong,open,MCGC_model_prediction,0.0475,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-03be4f2d230e,Hong Kong,open,MCGC_model_prediction,0.0170,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-03c053269054,Hong Kong,gated,MCGC_model_prediction,0.5270,low,5k_10k_m2,2_4,0_0.0005,3_5,yes,yes
GBA-10-03ceef62fc2b,Hong Kong,open,MCGC_model_prediction,0.2026,medium,5k_10k_m2,<1,0,0,yes,yes
GBA-10-03da6e32ded1,Hong Kong,gated,MCGC_model_prediction,0.5715,low,<5k_m2,<1,0,0,yes,yes
GBA-10-03dd2e353dde,Hong Kong,open,MCGC_model_prediction,0.0727,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-03e089b23de4,Hong Kong,open,MCGC_model_prediction,0.4362,low,5k_10k_m2,<1,0.0005_0.001,3_5,yes,yes
GBA-10-03e109230296,Hong Kong,gated,MCGC_model_prediction,0.9067,high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-03e424ba3788,Hong Kong,gated,MCGC_model_prediction,0.5508,low,5k_10k_m2,>=8,0_0.0005,1_2,yes,yes
GBA-10-03e45ff5ffdd,Hong Kong,open,MCGC_model_prediction,0.2402,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-03eabe4b106c,Hong Kong,open,MCGC_model_prediction,0.3386,low,<5k_m2,<1,0,0,yes,yes
GBA-10-03ead5b4c585,Hong Kong,gated,MCGC_model_prediction,0.9451,high,25k_50k_m2,<1,0,0,yes,yes
GBA-10-04031501f8c5,Hong Kong,open,MCGC_model_prediction,0.2339,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-040c84145977,Hong Kong,open,MCGC_model_prediction,0.3887,low,25k_50k_m2,<1,0,0,yes,yes
GBA-10-040fd0e4d088,Hong Kong,open,MCGC_model_prediction,0.0323,very_high,25k_50k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-0411fca39657,Hong Kong,open,MCGC_model_prediction,0.2078,medium,<5k_m2,>=8,0,0,yes,yes
GBA-10-04183fce4c54,Hong Kong,open,MCGC_model_prediction,0.4284,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-041ee88b0477,Hong Kong,gated,MCGC_model_prediction,0.7772,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-0423011ece52,Hong Kong,gated,MCGC_model_prediction,0.5109,low,10k_25k_m2,2_4,0,0,yes,yes
GBA-10-043241d2384f,Hong Kong,open,MCGC_model_prediction,0.3590,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-0439d2fc97dd,Hong Kong,gated,MCGC_model_prediction,0.9070,high,5k_10k_m2,1_2,0,0,yes,yes
GBA-10-043a5dfe1dc4,Hong Kong,open,MCGC_model_prediction,0.0511,high,<5k_m2,1_2,0,0,yes,yes
