aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-01dc4db91634,Hong Kong,gated,MCGC_model_prediction,0.9300,high,10k_25k_m2,4_8,0_0.0005,1_2,yes,yes
GBA-10-01df671a315a,Hong Kong,open,MCGC_model_prediction,0.0076,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01df803a0616,Hong Kong,open,MCGC_model_prediction,0.0054,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01e1058e1881,Hong Kong,open,MCGC_model_prediction,0.4969,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-01eea99f2663,Hong Kong,open,MCGC_model_prediction,0.0060,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-01fc8e3a299e,Hong Kong,open,MCGC_model_prediction,0.0847,high,<5k_m2,<1,0,0,yes,yes
GBA-10-0204ed64a420,Hong Kong,open,MCGC_model_prediction,0.0983,high,<5k_m2,<1,0,0,yes,yes
GBA-10-020d5b5fe7a1,Hong Kong,open,MCGC_model_prediction,0.0095,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-020f5eceeae1,Hong Kong,open,MCGC_model_prediction,0.0343,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-021d93206223,Hong Kong,open,MCGC_model_prediction,0.1392,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-022797cf9ac2,Hong Kong,gated,MCGC_model_prediction,0.9649,very_high,10k_25k_m2,2_4,0,0,yes,yes
GBA-10-023a0a737bc4,Hong Kong,open,MCGC_model_prediction,0.1290,high,<5k_m2,4_8,0,0,yes,yes
GBA-10-023be4b951a5,Hong Kong,open,MCGC_model_prediction,0.0401,very_high,<5k_m2,4_8,0,0,yes,yes
GBA-10-025b728e0c7f,Hong Kong,open,MCGC_model_prediction,0.0445,very_high,<5k_m2,>=8,0.002_0.005,1_2,yes,yes
GBA-10-025de1a2e7e9,Hong Kong,open,MCGC_model_prediction,0.4662,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02600b52e1bf,Hong Kong,open,MCGC_model_prediction,0.0117,very_high,<5k_m2,4_8,0,0,yes,yes
GBA-10-026d090cebda,Hong Kong,open,MCGC_model_prediction,0.3131,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-0279670d0af2,Hong Kong,open,MCGC_model_prediction,0.0068,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-027a7c2afef4,Hong Kong,open,MCGC_model_prediction,0.0433,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-027be3178558,Hong Kong,open,MCGC_model_prediction,0.0155,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02851129aa20,Hong Kong,open,MCGC_model_prediction,0.2263,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-028e058a60da,Hong Kong,gated,MCGC_model_prediction,0.5461,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02952120431c,Hong Kong,gated,MCGC_model_prediction,0.9700,very_high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-02b19c7aec93,Hong Kong,open,MCGC_model_prediction,0.0162,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02b234f74e77,Hong Kong,open,MCGC_model_prediction,0.3665,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02b391d35d51,Hong Kong,open,MCGC_model_prediction,0.0051,very_high,<5k_m2,4_8,0.002_0.005,1_2,yes,yes
GBA-10-02b44c377807,Hong Kong,open,MCGC_model_prediction,0.1126,high,<5k_m2,<1,0,0,yes,yes
GBA-10-02b808cc9bf1,Hong Kong,open,MCGC_model_prediction,0.2337,medium,<5k_m2,4_8,0,0,yes,yes
GBA-10-02c719de8c96,Hong Kong,open,MCGC_model_prediction,0.4033,low,<5k_m2,<1,0,0,yes,yes
GBA-10-02d2d0a1b68b,Hong Kong,gated,MCGC_model_prediction,0.8543,high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-02d4295ab322,Hong Kong,open,MCGC_model_prediction,0.0338,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02d56d0c066a,Hong Kong,open,MCGC_model_prediction,0.0067,very_high,<5k_m2,<1,0,0,yes,yes
