aoi_id,city,centroid_lon,centroid_lat,area_m2,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-0365013f408e,Hong Kong,114.183696,22.267401,444.59,open,MCGC_model_prediction,0.0070,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-0370d9f2c771,Hong Kong,114.175541,22.319147,592.88,open,MCGC_model_prediction,0.0107,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-037aecd53902,Hong Kong,114.177901,22.340491,828.74,open,MCGC_model_prediction,0.3138,low,<5k_m2,<1,0,0,yes,yes
GBA-10-037c8203e081,Hong Kong,114.208204,22.336245,16695.85,open,MCGC_model_prediction,0.3297,low,10k_25k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-0383f885260c,Hong Kong,114.178846,22.339787,880.57,open,MCGC_model_prediction,0.0454,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-03895502bfa2,Hong Kong,114.167851,22.317379,165.72,open,MCGC_model_prediction,0.0835,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-039cb19e1e11,Hong Kong,114.178615,22.323562,707.89,open,MCGC_model_prediction,0.2634,medium,<5k_m2,>=8,0,0,yes,yes
GBA-10-039dddbcf53e,Hong Kong,113.991447,22.441235,2785.72,gated,MCGC_model_prediction,0.6145,low,<5k_m2,<1,0,0,yes,yes
GBA-10-03a08d48c2a4,Hong Kong,114.203423,22.386602,144457.04,gated,MCGC_model_prediction,0.9898,very_high,>=100k_m2,2_4,0_0.0005,>5,yes,yes
GBA-10-03ad4e9b9635,Hong Kong,114.139070,22.280680,1856.14,open,MCGC_model_prediction,0.1031,high,<5k_m2,4_8,0,0,yes,yes
GBA-10-03b56fe156d1,Hong Kong,114.183758,22.265539,2457.66,open,MCGC_model_prediction,0.0475,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-03be4f2d230e,Hong Kong,114.146448,22.463367,2917.28,open,MCGC_model_prediction,0.0170,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-03c053269054,Hong Kong,114.147300,22.286990,7610.74,gated,MCGC_model_prediction,0.5270,low,5k_10k_m2,2_4,0_0.0005,3_5,yes,yes
GBA-10-03ceef62fc2b,Hong Kong,114.155959,22.477338,5829.69,open,MCGC_model_prediction,0.2026,medium,5k_10k_m2,<1,0,0,yes,yes
GBA-10-03da6e32ded1,Hong Kong,114.191903,22.238021,4245.93,gated,MCGC_model_prediction,0.5715,low,<5k_m2,<1,0,0,yes,yes
GBA-10-03dd2e353dde,Hong Kong,114.177382,22.278557,179.90,open,MCGC_model_prediction,0.0727,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-03e089b23de4,Hong Kong,114.201114,22.330425,5671.74,open,MCGC_model_prediction,0.4362,low,5k_10k_m2,<1,0.0005_0.001,3_5,yes,yes
GBA-10-03e109230296,Hong Kong,114.057714,22.351363,7782.68,gated,MCGC_model_prediction,0.9067,high,5k_10k_m2,<1,0,0,yes,yes
GBA-10-03e424ba3788,Hong Kong,114.160817,22.305220,6695.15,gated,MCGC_model_prediction,0.5508,low,5k_10k_m2,>=8,0_0.0005,1_2,yes,yes
GBA-10-03e45ff5ffdd,Hong Kong,113.979856,22.460691,191.41,open,MCGC_model_prediction,0.2402,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-03eabe4b106c,Hong Kong,114.187831,22.394884,1004.58,open,MCGC_model_prediction,0.3386,low,<5k_m2,<1,0,0,yes,yes
GBA-10-03ead5b4c585,Hong Kong,114.270176,22.330467,26979.81,gated,MCGC_model_prediction,0.9451,high,25k_50k_m2,<1,0,0,yes,yes
GBA-10-04031501f8c5,Hong Kong,114.132733,22.367310,282.83,open,MCGC_model_prediction,0.2339,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-040c84145977,Hong Kong,114.050993,22.363695,25597.70,open,MCGC_model_prediction,0.3887,low,25k_50k_m2,<1,0,0,yes,yes
GBA-10-040fd0e4d088,Hong Kong,114.171412,22.517701,46483.64,open,MCGC_model_prediction,0.0323,very_high,25k_50k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-0411fca39657,Hong Kong,114.141467,22.284172,211.91,open,MCGC_model_prediction,0.2078,medium,<5k_m2,>=8,0,0,yes,yes
